customer_id,first_name,last_name,email,phone,city,state,country,date_of_birth,registration_date,loyalty_level
C0000039,Ronald,Stephens,rebekahserrano@example.org,2499471746,Coimbatore,Delhi,India,1995-02-28,2025-04-12,Platinum
C0000040,Christopher,Williams,,1399049027,Chennai,Karnataka,India,1973-11-27,2026-07-14,Silver
C0000041,Ryan,Olsen,harrisonricky@example.com,2567468071,Coimbatore,Delhi,India,1969-06-12,2024-12-28,Gold
C0000042,Michelle,Bryan,sandovalamy@example.com,3859770348,Pune,Karnataka,India,1994-07-17,2022-08-03,Bronze
C0000043,Anthony,Mccoy,jennifercollins@example.org,1317127484,Hyderabad,Gujarat,India,1978-02-21,2025-06-10,Bronze
C0000044,Andrea,Reyes,michellehill@example.com,8404499727,Delhi,Tamil Nadu,India,1984-03-06,2026-04-01,Gold
C0000045,Kathryn,Bennett,molly39@example.com,6057662702,Coimbatore,Karnataka,India,1968-05-21,2025-04-19,Gold
C0000046,Cory,Lozano,bowenrobert@example.net,1745961586,Delhi,Tamil Nadu,India,1964-01-01,2022-02-19,Silver
C0000047,Jimmy,Cohen,wendy16@example.org,7240050455,Hyderabad,Maharashtra,India,1997-09-14,2025-01-22,Gold
C0000048,Ashlee,Sparks,gregorylynch@example.com,7923747407,Coimbatore,Tamil Nadu,India,1966-08-01,2025-04-24,Gold
C0000049,Sierra,Huerta,danielle64@example.com,3671369594,Jaipur,Maharashtra,India,1980-03-27,2021-08-16,Silver
C0000050,Ashlee,Jennings,lozanojulie@example.com,9533942104,Bengaluru,Maharashtra,India,1986-05-21,2022-09-03,Gold
C0000051,Christopher,Phillips,ithompson@example.net,8842474517,Delhi,Maharashtra,India,2007-08-01,2024-12-07,Bronze
C0000052,Tammy,Ballard,christopher60@example.com,7549651370,Jaipur,Karnataka,India,2003-01-27,2023-06-09,Bronze
C0000053,Deborah,Reid,tblankenship@example.net,1200471138,Ahmedabad,Karnataka,India,1986-10-21,2026-02-24,Platinum
C0000054,Robert,Newton,nicolepena@example.com,4053773515,,Telangana,India,1988-08-25,2023-11-26,Bronze
C0000055,James,Martinez,ndavis@example.net,0532931839,Ahmedabad,Tamil Nadu,India,1971-08-07,2021-07-30,Bronze
C0000056,Joshua,Riggs,amberlindsey@example.org,2053950240,Coimbatore,Rajasthan,India,1969-04-16,2022-02-04,Bronze
C0000057,Thomas,Strickland,hayesjeffrey@example.net,8470076617,Mumbai,Tamil Nadu,India,1983-06-24,2022-10-25,Gold
C0000058,Cameron,Hill,oscar98@example.com,8961183673,Mumbai,Delhi,India,1988-09-09,2025-02-03,Bronze
C0000059,Jessica,Edwards,elizabeth52@example.net,1111615280,Pune,Gujarat,India,1983-12-28,2022-08-05,Gold
C0000060,Robert,Russo,uparrish@example.org,9451983273,Ahmedabad,Karnataka,India,1986-07-27,2022-07-13,Bronze
C0000061,Kathryn,Andrews,xbruce@example.net,9402445502,Bengaluru,Maharashtra,India,1966-04-17,2022-10-05,Bronze
C0000062,Joyce,Bonilla,reesejason@example.com,5254599102,Coimbatore,Maharashtra,India,2007-06-03,2022-04-01,Silver
C0000063,Joseph,Stanley,alawson@example.com,8156149784,Chennai,Karnataka,India,2002-05-05,2022-01-08,Silver
C0000064,Adrian,Turner,katrinaduran@example.com,1076226838,Chennai,Maharashtra,India,1988-07-30,2021-11-30,Bronze
C0000065,Ryan,Stevens,atkinsbarbara@example.net,6416052975,Chennai,Maharashtra,India,1978-02-11,2025-04-05,Bronze
C0000066,Brianna,Warren,vharrell@example.com,5218188355,Mumbai,Delhi,India,1971-07-10,2023-09-25,Silver
C0000067,James,Morrison,thompsonkendra@example.com,9979955271,Mumbai,Tamil Nadu,India,1980-04-01,2022-01-12,Bronze
C0000068,Michael,Jones,dhayes@example.com,1199867980,Jaipur,Rajasthan,India,1983-06-09,2025-08-07,Silver
C0000069,Walter,Rosario,vgarcia@example.net,8203778892,Ahmedabad,West Bengal,India,1987-12-03,2025-01-12,Bronze
C0000070,Kim,Shelton,mccormickdeborah@example.org,1864492519,Bengaluru,West Bengal,India,2006-03-15,2024-11-20,Bronze
C0000071,David,Fletcher,collinsnicholas@example.com,8168505423,Kolkata,Gujarat,India,1976-12-21,2022-09-22,Gold
C0000072,Eric,Phillips,romeroamber@example.net,5929622292,Chennai,Karnataka,India,1986-05-07,2023-07-29,Bronze
C0000073,Tara,Bishop,pyoung@example.com,3597746886,Pune,Karnataka,India,1970-12-22,2023-09-06,Bronze
C0000074,Brett,Castillo,angela18@example.org,1247826137,Mumbai,Tamil Nadu,India,1965-03-07,2024-12-04,Bronze
C0000075,Wayne,Young,brooksanthony@example.org,2204727790,Kolkata,Telangana,India,1976-03-26,2022-10-29,Bronze
C0000076,Ana,Acosta,srodriguez@example.org,1036971179,Mumbai,Karnataka,India,2000-09-08,2023-08-12,Bronze
C0000077,Jennifer,Carter,mendezjohn@example.com,1851888880,Coimbatore,Karnataka,India,2004-10-24,2024-11-04,Bronze
C0000078,Tina,King,kellycarlos@example.org,9520585277,Coimbatore,Tamil Nadu,India,1992-09-13,2021-11-13,Platinum
C0000079,Kelly,Williams,ninastewart@example.com,8740345054,Mumbai,Telangana,India,1988-10-11,2025-04-18,Bronze
C0000080,Patricia,Hughes,tylerjimenez@example.net,1616928451,Ahmedabad,Maharashtra,India,1982-05-31,2025-05-07,Gold
C0000081,Carrie,Simmons,cbell@example.net,9640165820,Chennai,Telangana,India,1963-12-04,2022-08-18,Bronze
C0000082,Carlos,Osborne,michael90@example.net,7557192856,Kolkata,Delhi,India,1969-04-11,2021-10-10,Gold
C0000083,Jill,Porter,hmcintyre@example.com,7394731217,Ahmedabad,Delhi,India,2007-12-18,2024-04-09,Bronze
C0000084,Elizabeth,Mckinney,patricia22@example.com,1323705895,Coimbatore,Gujarat,India,2003-03-15,2022-04-15,Bronze
C0000085,Cameron,Sanders,xfox@example.com,2517785289,Delhi,Maharashtra,India,1995-10-11,2022-01-10,Platinum
C0000086,Marie,Holmes,fred53@example.com,1438424981,Jaipur,Tamil Nadu,India,2001-01-26,2022-11-13,Bronze
C0000087,George,Weber,megan90@example.org,0943969078,Pune,Tamil Nadu,India,1978-03-22,2025-01-03,Bronze
C0000088,Kenneth,Jones,moorerobert@example.com,5925556258,Ahmedabad,Tamil Nadu,India,1978-01-03,2025-07-10,Gold
C0000089,David,Cole,colinroberts@example.com,3259532787,Coimbatore,Telangana,India,1963-02-18,2022-04-27,Bronze
C0000090,Sierra,Wagner,jasongomez@example.org,7974801624,Coimbatore,Karnataka,India,1964-08-20,2024-12-17,Gold
C0000091,Brett,Hoffman,angela16@example.net,8499121655,Bengaluru,Rajasthan,India,1975-02-07,2025-11-19,Bronze
C0000092,Richard,Williams,taylormason@example.com,2982595269,Mumbai,West Bengal,India,1996-01-30,2025-11-21,Bronze
C0000093,Amanda,Erickson,thomas05@example.com,6940974993,Jaipur,Maharashtra,India,1973-02-28,2026-01-05,Silver
C0000094,Cristina,Harvey,rhernandez@example.org,9130756263,Chennai,Rajasthan,India,1993-08-25,2022-01-31,Bronze
C0000095,Janice, Stone ,whitney78@example.com,2785854973,Jaipur,Rajasthan,India,1981-11-14,2023-06-20,Silver
C0000096,Shelly,Hendrix,janet75@example.com,8441986652,Delhi,Maharashtra,India,1966-12-08,2024-07-02,Silver
C0000097,SANDRA,Douglas,ilewis@example.com,2199330833,Pune,Maharashtra,India,1984-01-13,2025-07-28,Bronze
C0000098,Craig,Townsend,oconnelltiffany@example.org,7734540193,Hyderabad,Delhi,India,1989-12-29,2023-01-19,Silver
C0000099,Sarah,Johnson,lfrench@example.net,0049915478,Bengaluru,Tamil Nadu,India,1995-11-14,2025-07-15,Silver
C0000100,Joshua,Lamb,francisco74@example.net,0549329668,Jaipur,Karnataka,India,2007-02-06,2022-05-14,Bronze
C0000101,Jack,Taylor,shari04@example.com,7454990453,Mumbai,Tamil Nadu,India,1982-06-08,2022-11-30,Bronze
C0000102,Richard,Shaw,hannah45@example.net,3272795687,Pune,Karnataka,India,2007-11-08,2022-04-02,Gold
C0000103,Alicia,Rice,christian91@example.org,9822587139,Pune,Delhi,India,1991-11-15,2022-01-10,Bronze
C0000104,Shawn,Palmer,jelliott@example.com,0640391065,Coimbatore,Delhi,India,1966-04-03,2025-07-27,Silver
C0000105,Anthony,Ortiz,katiegood@example.net,5676618251,Coimbatore,Tamil Nadu,India,1997-07-18,2022-08-21,Silver
C0000106,Jessica,Walker,avilatiffany@example.com,8633752431,Coimbatore,Delhi,India,1962-08-15,2023-08-08,Gold
C0000107,Jamie,Garcia,griffinemily@example.org,0673830284,Bengaluru,Telangana,India,2000-11-08,2024-04-13,Bronze
C0000108,Joel,Walter,,6870568566,Bengaluru,Tamil Nadu,India,1974-01-26,2026-02-17,Bronze
C0000109,Thomas,Atkinson,meredith27@example.org,6882634351,Delhi,Rajasthan,India,1998-01-03,2023-03-05,Bronze
C0000110,Brett,Bennett,russojacob@example.net,7354033173,Pune,Maharashtra,India,1977-11-04,2026-04-02,Silver
C0000111,Marc,Campbell,wferguson@example.com,5877175355,Delhi,Tamil Nadu,India,1976-08-12,2022-10-18,Silver
C0000112,Allen,Tran,mphillips@example.com,6937854777,Chennai,Karnataka,India,1971-01-30,2026-03-16,Silver
C0000113,Tracy,Stark,warrenmary@example.org,0623120387,Delhi,Tamil Nadu,India,2004-12-14,2025-08-31,Bronze
C0000114,Donna,Smith,hsmith@example.net,8408621182,Hyderabad,Delhi,India,1997-05-20,2023-09-14,Bronze
C0000115,Lisa,Adams,zmiller@example.com,3410166687,Ahmedabad,Tamil Nadu,India,1967-03-08,2025-10-22,Silver
C0000116,Megan,Newman,ariel18@example.org,3974014890,Coimbatore,Tamil Nadu,India,1975-08-27,2026-07-19,Bronze
C0000117,Douglas,Hoover,thickman@example.org,9685621850,Hyderabad,Tamil Nadu,India,1966-09-24,2024-06-14,Bronze
C0000118,Cassie,Austin,unovak@example.org,7735866296,Pune,Rajasthan,India,1978-04-30,2022-03-07,Silver
C0000119,Christopher,Moore,jodistewart@example.org,0475412126,Kolkata,Telangana,India,1996-06-05,2025-01-09,Bronze
C0000120,Dakota,Davis,carlsonkristen@example.com,4661839826,Pune,Tamil Nadu,India,1982-01-18,2023-11-02,Gold
C0000121,Trevor,Brown,thill@example.com,5437993712,Mumbai,Maharashtra,India,1984-03-01,2024-10-14,Silver
C0000122,Linda,Rivera,ryan92@example.com,9375265479,Pune,Tamil Nadu,India,1980-08-18,2024-11-23,Gold
C0000123,Michael,Frederick,brittanygardner@example.net,7374167243,Kolkata,Rajasthan,India,1987-03-19,2022-03-08,Silver
C0000124,Shane,Harper,sferguson@example.com,5891135290,Mumbai,Telangana,India,1990-11-07,2022-06-16,Platinum
C0000125,Alex,Green,seanmyers@example.net,5071461125,Hyderabad,West Bengal,India,1975-08-20,2025-12-27,Bronze
C0000126,Timothy,Alvarez,cbowen@example.com,4010512382,Pune,West Bengal,India,1999-08-28,2025-03-07,Gold
C0000127,Susan,Hall,lsoto@example.net,6093796603,Mumbai,Delhi,India,2000-11-05,2022-06-03,Bronze
C0000128,Lauren,Herrera,mark71@example.com,8596969155,Bengaluru,West Bengal,India,2007-05-25,2024-02-01,Gold
C0000129,Samantha,Lawrence,lawrenceallen@example.org,5286692966,Ahmedabad,Maharashtra,India,2005-06-20,2023-01-11,Bronze
C0000130,Angela,Burns,jacobwilkinson@example.net,5072368876,Ahmedabad,Maharashtra,India,1994-10-24,2022-12-23,Bronze
C0000131,Christopher,Johnson,kellyhill@example.net,2797881914,Mumbai,Maharashtra,India,1964-05-22,2025-04-23,Bronze
C0000132,Amy,Fritz,fitzgeralddesiree@example.org,0745171339,Mumbai,West Bengal,India,1972-11-07,2022-09-27,Bronze
C0000133,Kristen,Li,hudsonamanda@example.net,5449481260,Bengaluru,Delhi,India,1978-07-19,2022-10-19,Bronze
C0000134,Jennifer,Poole,kburns@example.net,6671168457,Coimbatore,West Bengal,India,1961-09-22,2022-05-07,Silver
C0000135,Jessica,Ellis,melissa86@example.org,3745458929,Coimbatore,Maharashtra,India,1964-09-06,2022-05-27,Gold
C0000136,Connie,Copeland,martinezmia@example.com,0632424154,Bengaluru,Delhi,India,1965-01-29,2024-12-04,Bronze
C0000137,Connie,Barber,rubendavis@example.org,3712938700,Delhi,Tamil Nadu,India,1970-07-21,2025-08-14,Bronze
C0000138,Chad,Reyes,garciamichael@example.com,6221890927,Kolkata,Maharashtra,India,1989-07-29,2025-04-26,Silver
C0000139,Michelle,Miller,taylordavid@example.net,5652341389,Pune,West Bengal,India,2008-07-17,2021-10-13,Silver
C0000140,Melanie,Barrett,jamie98@example.org,4037613791,Coimbatore,Karnataka,India,1983-02-03,2022-09-05,Bronze
C0000141,Paul,Combs,rdiaz@example.org,1091043006,Jaipur,Maharashtra,India,1989-10-29,2025-02-27,Bronze
C0000142,Jacqueline,Miller,joshuacollins@example.net,2856914630,Kolkata,Tamil Nadu,India,1969-06-13,2025-05-30,Silver
C0000143,Cheryl,Brown,davidzimmerman@example.net,2758842524,Coimbatore,Maharashtra,India,1990-10-09,2023-11-14,Bronze
C0000144,Alexandria,Baker,crawfordwilliam@example.org,9252419138,Bengaluru,Maharashtra,India,1978-03-14,2021-12-11,Silver
C0000145,Thomas,Reyes,haroldhorne@example.org,3536541951,Bengaluru,Delhi,India,1976-09-29,2025-12-10,Silver
C0000146,Tina,Finley,wileymichelle@example.com,1870534949,Kolkata,Maharashtra,India,2001-10-27,2025-10-01,Bronze
C0000147,Whitney,Parsons,edwardrandolph@example.org,8505064138,Delhi,Tamil Nadu,India,1965-08-19,2022-10-07,Bronze
C0000148,Jennifer,Davis,phyllismeyer@example.net,7191826199,Kolkata,West Bengal,India,1977-09-01,2024-01-14,Silver
C0000149,Jose,Edwards,vhaynes@example.com,7431329121,Hyderabad,Rajasthan,India,1982-12-05,2025-01-04,Silver
C0000150,David,Howard,shannonford@example.org,2490352135,Kolkata,Tamil Nadu,India,2007-08-22,2024-02-05,Gold
C0000151,Jorge,Ewing,cranemelissa@example.net,1712100323,Delhi,Delhi,India,2001-03-08,2026-07-17,Bronze
C0000152,Jonathan,Hess,osbornjames@example.net,2151070296,Jaipur,Rajasthan,India,1987-08-08,2025-03-08,Silver
C0000153,Gerald,Lewis,joshuagriffin@example.org,9993476870,Ahmedabad,Gujarat,India,1970-11-24,2025-02-13,Bronze
C0000154,James,Wilkerson,crystalpham@example.org,5787598564,Mumbai,Tamil Nadu,India,2002-03-11,2023-06-02,Silver
C0000155,Anthony,Cochran,brian78@example.com,2133480396,Hyderabad,Karnataka,India,1977-08-27,2024-04-05,Bronze
C0000156,Linda,Wolfe,warnermichael@example.net,9378427010,Jaipur,Maharashtra,India,1962-11-30,2026-01-12,Bronze
C0000157,Timothy,Rivera,lindsaypeterson@example.org,0029218515,Mumbai,Delhi,India,1984-06-17,2024-02-14,Bronze
C0000158,Marcus,Daugherty,fconner@example.net,2895392644,Mumbai,Telangana,India,2000-07-15,2024-11-19,Bronze
C0000159,Melissa,Townsend,whitelucas@example.net,9172513552,Mumbai,Gujarat,India,1962-05-02,2023-10-23,Silver
C0000160,Jason,Steele,jonathan10@example.org,7626765861,Bengaluru,Gujarat,India,1972-08-16,2025-05-24,Bronze
C0000161,Charles,Singleton,andrew41@example.org,2621815997,Jaipur,Maharashtra,India,2002-11-19,2025-04-01,Silver
C0000162,Eric,Garcia,terriortiz@example.net,4431069872,Kolkata,Gujarat,India,1990-08-28,2022-04-20,Bronze
C0000163,Kelly,Stanley,bgonzalez@example.org,4171467741,Hyderabad,Tamil Nadu,India,1986-10-21,2024-10-19,Gold
C0000164,Mike,Griffin,scott43@example.com,2115869380,Bengaluru,West Bengal,India,1997-12-31,2025-08-05,Bronze
C0000165,Ashley,Young,christian08@example.net,1722332061,Coimbatore,Gujarat,India,2002-01-18,2023-10-01,Bronze
C0000166,Luis,Acosta,millerangela@example.net,4870998616,Mumbai,Karnataka,India,2001-07-26,2026-07-06,Silver
C0000167,Katherine,Ayers,hartcraig@example.com,6467997024,Ahmedabad,Tamil Nadu,India,2002-12-23,2024-12-21,Platinum
C0000168,Benjamin,Preston,hannah07@example.com,0544471324,Jaipur,Maharashtra,India,1989-12-01,2022-04-25,Platinum
C0000169,Jacob,Lewis,wfigueroa@example.net,0821486289,Ahmedabad,Rajasthan,India,1975-03-21,2022-01-17,Gold
C0000170,John,Bryant,janet45@example.com,1035797279,Coimbatore,West Bengal,India,1972-09-07,2023-10-03,Gold
C0000171,Kaitlyn,Barker,anthony02@example.net,3334680072,Coimbatore,Gujarat,India,1976-10-13,2023-09-14,Gold
C0000172,Charlene,Hahn,rodney65@example.com,3748969108,Ahmedabad,Gujarat,India,2003-01-02,2023-12-17,Bronze
C0000173,Kenneth,Rodriguez,rogersjoshua@example.com,4432830965,Mumbai,Delhi,India,1981-09-03,2023-10-06,Gold
C0000174,Rebecca,Sullivan,aguilarwanda@example.org,3875842824,Coimbatore,Gujarat,India,1979-02-27,2026-04-23,Silver
C0000175,Kathryn,White,destiny35@example.org,6554947170,Delhi,Gujarat,India,1966-05-27,2025-07-28,Bronze
C0000176,Pamela,Mason,amoreno@example.org,2356972521,Delhi,Maharashtra,India,1982-11-19,2022-01-18,Bronze
C0000177,Adam,Hill,barbaramoore@example.org,9666676008,Pune,Tamil Nadu,India,1983-06-26,2026-01-26,Bronze
C0000178,James,Rhodes,jeremywiley@example.com,1689421044,Hyderabad,Maharashtra,India,1997-03-23,2024-06-05,Bronze
C0000179,Ryan,Mcdaniel,matthewvalenzuela@example.com,2603323098,Hyderabad,Maharashtra,India,2005-10-29,2021-11-15,Bronze
C0000180,Nicholas,Bowman,wheelerbrandon@example.org,0167618472,Kolkata,Maharashtra,India,1990-03-13,2022-05-31,Silver
C0000181,Elaine,Nelson,robertroach@example.net,4117393483,Kolkata,Tamil Nadu,India,1972-06-21,2021-11-21,Bronze
C0000182,Amy,Lozano,arivera@example.org,1972181143,Kolkata,West Bengal,India,1993-02-24,2021-12-24,Gold
C0000183,Cory,Thompson,phelpsmichael@example.net,6110022557,Jaipur,Tamil Nadu,India,1986-11-30,2024-06-20,Gold
C0000184,Ian,Morales,ynelson@example.net,6212021697,Jaipur,West Bengal,India,2003-02-27,2024-10-13,Silver
C0000185,Kimberly,Carr,timothyfreeman@example.com,0145089935,Pune,Delhi,India,1968-01-15,2025-03-27,Gold
C0000186,Dorothy,Wright,elizabeth62@example.net,0287721753,Kolkata,Tamil Nadu,India,1996-01-20,2023-06-13,Silver
C0000187,Andrea,Gray,christianwallace@example.net,1775170166,Coimbatore,Rajasthan,India,1961-07-26,2022-04-30,Gold
C0000188,Latoya,Richmond,pamela83@example.net,5503758997,Ahmedabad,Maharashtra,India,1968-03-09,2023-06-10,Bronze
C0000189,Aaron,Kelly,amy51@example.org,7261493316,Ahmedabad,Tamil Nadu,India,1984-07-21,2022-06-21,Bronze
C0000190,Katherine,Williams,bartonshannon@example.net,7080869782,Kolkata,Telangana,India,1968-08-08,2024-11-06,Gold
C0000191,Diane,Obrien,william66@example.net,4654722698,Hyderabad,Rajasthan,India,1999-03-25,2023-05-28,Silver
C0000192,James,Weber,glenda22@example.net,1587996846,Kolkata,Rajasthan,India,1963-04-11,2024-10-17,Silver
C0000193,Dustin,Santiago,josephfloyd@example.com,2043805719,Chennai,Karnataka,India,1988-01-08,2023-07-30,Silver
C0000194,William,Robles,heather06@example.com,5800439735,Hyderabad,Gujarat,India,1974-12-05,2023-03-15,Bronze
C0000195,Kelly,Thompson,lopezglenn@example.net,6064842294,Delhi,West Bengal,India,1972-02-03,2021-11-23,Bronze
C0000196,Eric,Morris,ayalacolleen@example.net,7985158328,Ahmedabad,Maharashtra,India,1989-11-11,2026-03-05,Bronze
C0000197,Amanda,Davis,nicolealvarado@example.com,4398780157,Kolkata,Delhi,India,1978-02-24,2021-11-22,Gold
C0000198,Felicia,Flores,cruzamber@example.com,8588770435,Kolkata,Delhi,India,1972-12-12,2026-02-17,Gold
C0000199,Amanda,Sims,ellenayala@example.net,1386120750,Ahmedabad,Tamil Nadu,India,1973-09-02,2023-09-12,Silver
C0000200,Angela,Andrews,rhondarussell@example.com,6506180919,Chennai,Maharashtra,India,1995-10-11,2022-06-16,Bronze
C0000201,Keith,Jennings,campbellsara@example.com,0728326842,Bengaluru,Tamil Nadu,India,1999-03-23,2026-04-11,Gold
C0000202,Donald,Williams,fmedina@example.com,5368222394,Mumbai,Maharashtra,India,2007-03-21,2026-05-19,Gold
C0000203,Melissa,York,enewman@example.com,4139755231,Jaipur,Telangana,India,1974-09-22,2024-04-04,Bronze
C0000204,Todd,Murphy,heather29@example.net,5620533645,Ahmedabad,Karnataka,India,1993-01-20,2025-05-05,Silver
C0000205,Michael,Torres,thompsoncatherine@example.com,8341108099,Mumbai,Gujarat,India,1964-01-19,2026-03-31,Silver
C0000206,Jorge,Shannon,jvaldez@example.com,3942788165,Pune,Telangana,India,2003-05-05,2022-12-19,Silver
C0000207,Katherine,Taylor,haroldfry@example.net,7503731453,Bengaluru,Telangana,India,1986-02-20,2024-11-08,Platinum
C0000208,Terry,Gibson,williamsdeborah@example.org,4989266591,Bengaluru,Rajasthan,India,1976-09-22,2025-12-12,Bronze
C0000209,Richard,Roth,tommy79@example.org,7231843222,Delhi,Rajasthan,India,2006-07-18,2023-07-07,Silver
C0000210,Robert,Rivera,olsontimothy@example.org,6030299228,Kolkata,West Bengal,India,1965-05-12,2022-12-20,Gold
C0000211,Jonathan,White,kgreene@example.net,4137977236,Mumbai,Karnataka,India,1973-12-07,2025-11-25,Silver
C0000212,Joseph,Ramsey,sandra99@example.org,6621038862,Mumbai,Karnataka,India,1993-12-09,2021-11-20,Silver
C0000213,Natalie,Schmidt,davisdonna@example.net,6865086376,Delhi,Rajasthan,India,1968-03-16,2025-03-04,Gold
C0000214,Dennis,Woods,reneemiller@example.net,4300981806,Jaipur,Tamil Nadu,India,1986-03-18,2022-06-18,Bronze
C0000215,Eric,Pearson,jose86@example.net,9463688725,Kolkata,Maharashtra,India,1978-10-29,2024-02-29,Bronze
C0000216,Becky,Schroeder,qfitzgerald@example.org,7213865890,Pune,Tamil Nadu,India,1967-10-03,2022-10-16,Gold
C0000217,Thomas,Burke,brownjeffrey@example.org,6698490277,Ahmedabad,Karnataka,India,1981-01-07,2023-03-19,Bronze
C0000218,Arthur,Greene,christinacraig@example.com,0214656693,Pune,Gujarat,India,1967-09-10,2026-03-25,Silver
C0000219,Justin,Gallegos,michael43@example.net,7690426818,Kolkata,Telangana,India,1984-09-09,2022-07-20,Silver
C0000220,Leah,Frye,heather69@example.com,5779071416,Delhi,Rajasthan,India,1989-08-15,2024-07-23,Gold
C0000221,Zachary,Smith,john16@example.net,1827553942,Coimbatore,Gujarat,India,1977-07-16,2023-08-13,Silver
C0000222,Monique,Clark,maryhuff@example.com,1117908075,Jaipur,Delhi,India,2000-08-26,2023-11-22,Bronze
